"#","No.","Name","Laps","Lead","Lap Tm","Spd","Elapsed Tm","Passing Tm","Hits","Strength","Noise","Photocell Time","Transponder","Backup Tx","Backup Passing Tm","Class"
"1","","Warmup Flag","","","","","","10:51:25.417","","","","","","","",""
"2","","Green Flag","","","","","0.000","10:51:37.079","","","","","","","",""
"3","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","0","0","","0.0","0.001","10:51:37.080","156","173","19","","2942111","0","","C"
"4","172","Over Under Racing 1991 Mazda Miata (Blue)","0","0","","0.0","24.744","10:52:01.823","80","138","19","","935284","0","",""
"5","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","0","0","","0.0","32.581","10:52:09.660","42","123","19","","1769140","0","","c"
"6","??","1975588","0","0","","0.0","","10:52:58.267","53","124","19","","1975588","0","",""
"7","756","PlumCrazy 1998 dodge Neon (Purple)","0","0","","0.0","1:32.734","10:53:09.813","90","148","19","","5795572","0","","B"
"8","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","1","1","1:57.087","65.8","1:57.088","10:53:34.167","158","172","19","","2942111","0","","C"
"9","172","Over Under Racing 1991 Mazda Miata (Blue)","1","1","1:52.680","68.4","2:17.424","10:53:54.503","88","139","19","","935284","0","",""
"10","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","1","1","1:53.051","68.1","2:25.632","10:54:02.711","35","123","19","","1769140","0","","c"
"11","??","1975588","0","1","","0.0","","10:54:48.767","63","120","19","","1975588","0","",""
"12","756","PlumCrazy 1998 dodge Neon (Purple)","1","1","1:58.022","65.3","3:30.756","10:55:07.835","86","147","19","","5795572","0","","B"
"13","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","2","2","1:53.979","67.6","3:51.067","10:55:28.146","151","172","19","","2942111","0","","C"
"14","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","2","2","1:53.443","67.9","4:19.075","10:55:56.154","39","124","19","","1769140","0","","c"
"15","??","5950730","0","2","","0.0","","10:56:27.872","120","76","19","","5950730","0","",""
"16","??","6833377","0","2","","0.0","","10:56:27.873","61","67","19","","6833377","0","",""
"17","??","1975588","0","2","","0.0","","10:56:39.360","56","121","19","","1975588","0","",""
"18","756","PlumCrazy 1998 dodge Neon (Purple)","2","2","1:56.093","66.4","5:26.849","10:57:03.928","96","149","19","","5795572","0","","B"
"19","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","3","3","1:53.427","67.9","5:44.494","10:57:21.573","156","170","19","","2942111","0","","C"
"20","51","British American Racing 1988 BMW Hawk E30 325is (Red White Blue 1)","3","3","1:53.763","67.7","6:12.838","10:57:49.917","34","124","19","","1769140","0","","c"
"21","??","1975588","0","3","","0.0","","10:58:29.016","51","120","19","","1975588","0","",""
"22","??","6833377","0","3","","0.0","","10:58:30.043","91","172","19","","6833377","0","",""
"23","??","5950730","0","3","","0.0","","10:58:30.044","108","186","19","","5950730","0","",""
"24","756","PlumCrazy 1998 dodge Neon (Purple)","3","3","1:58.175","65.2","7:25.024","10:59:02.103","88","142","19","","5795572","0","","B"
"25","770","#Gyvulys Racing Team 1995 BmW 325is (Black)","4","4","2:42.439","47.4","8:26.933","11:00:04.012","90","70","19","","2942111","0","","C"
"26","??","5950730","0","4","","0.0","","11:00:56.338","212","81","19","","5950730","0","",""
"27","??","6833377","0","4","","0.0","","11:00:56.352","67","68","19","","6833377","0","",""
"28","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","P 0","4","","0.0","23:57.172","11:15:34.251","148","44","19","","4932257","0","","B"
"29","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","P 1","4","34.315","224.5","24:31.487","11:16:08.566","3","27","19","","4932257","0","","B"
"30","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","P 2","4","4.774","1613.7","24:36.261","11:16:13.340","4","33","19","","4932257","0","","B"
"31","427","Two Brothers Racing 1986 Mercedes 190E (Charcoal/White)","P 3","4","39.170","196.7","25:15.431","11:16:52.510","60","46","19","","4932257","0","","B"
"32","666","Team Mid Life Crisis 1992 BMW 325i (Black)","P 0","4","","0.0","26:59.482","11:18:36.561","8","26","19","","5955655","0","","EC"
"33","666","Team Mid Life Crisis 1992 BMW 325i (Black)","P 1","4","1:51.932","68.8","28:51.414","11:20:28.493","22","43","19","","5955655","0","","EC"
"34","666","Team Mid Life Crisis 1992 BMW 325i (Black)","P 2","4","9.729","791.9","29:01.143","11:20:38.222","469","56","19","","5955655","0","","EC"
"35","80","Cremaster Racing 1999 Mazda Miata (Charcoal)","P 0","4","","0.0","30:33.370","11:22:10.449","234","45","19","","5149767","0","","A"
"36","80","Cremaster Racing 1999 Mazda Miata (Charcoal)","P 1","4","21.315","361.4","30:54.685","11:22:31.764","129","43","19","","5149767","0","","A"
"37","80","Cremaster Racing 1999 Mazda Miata (Charcoal)","P 2","4","54.077","142.5","31:48.762","11:23:25.841","203","46","19","","5149767","0","","A"
"38","80","Cremaster Racing 1999 Mazda Miata (Charcoal)","P 3","4","1:15.450","102.1","33:04.212","11:24:41.291","21","37","19","","5149767","0","","A"
"39","80","Cremaster Racing 1999 Mazda Miata (Charcoal)","P 4","4","32.974","233.6","33:37.186","11:25:14.265","98","47","19","","5149767","0","","A"
"40","80","Cremaster Racing 1999 Mazda Miata (Charcoal)","P 5","5","3.584","2149.6","33:40.770","11:25:17.849","20","39","19","","5149767","0","","A"
"41","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 0","5","","0.0","34:04.455","11:25:41.534","165","50","19","","4808597","0","","D"
"42","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 1","5","8:57.728","14.3","43:02.183","11:34:39.262","132","50","18","","4808597","0","","D"
"43","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 2","5","25.006","308.1","43:27.189","11:35:04.268","217","45","19","","4808597","0","","D"
"44","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 3","5","40.247","191.4","44:07.436","11:35:44.515","552","52","19","","4808597","0","","D"
"45","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 4","5","6.432","1197.8","44:13.868","11:35:50.947","3","33","19","","4808597","0","","D"
"46","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 5","5","15.607","493.6","44:29.475","11:36:06.554","4","34","19","","4808597","0","","D"
"47","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 6","6","13.727","561.2","44:43.202","11:36:20.281","77","48","19","","4808597","0","","D"
"48","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 7","7","10.475","735.5","44:53.677","11:36:30.756","586","50","19","","4808597","0","","D"
"49","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 8","8","23.331","330.2","45:17.008","11:36:54.087","578","51","19","","4808597","0","","D"
"50","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 9","9","42.981","179.2","45:59.989","11:37:37.068","764","51","19","","4808597","0","","D"
"51","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 10","10","1:10.791","108.8","47:10.780","11:38:47.859","3","34","19","","4808597","0","","D"
"52","978","Beer Money Racing 1978 Chevy Camaro (Silver)","P 11","11","6.981","1103.6","47:17.761","11:38:54.840","442","49","19","","4808597","0","","D"
"53","727","C-137 Racing 1997 Plymouth Neon (Muave)","P 0","11","","0.0","53:02.688","11:44:39.767","437","49","19","","5869063","0","","B"
"54","727","C-137 Racing 1997 Plymouth Neon (Muave)","P 1","11","1:10.404","109.4","54:13.092","11:45:50.171","4","32","19","","5869063","0","","B"
"55","727","C-137 Racing 1997 Plymouth Neon (Muave)","P 2","11","16.498","467.0","54:29.590","11:46:06.669","1056","63","19","","5869063","0","","B"
"56","808","BGKP 1999 Saab 9-3 (White)","P 0","11","","0.0","1:04:17.358","11:55:54.437","3","50","19","","4765919","0","","C"
"57","707","BGKP 1997 Saab 900 Se (Black)","P 0","11","","0.0","1:08:25.623","12:00:02.702","390","52","19","","3544524","0","","C"
