Time of Day,Lap,LeadLap,Lap Tm,Speed
2 - Utah Valley University 1990 Mazda Miata (Green) - A,,,,
8:30:50,1,1,2:01.451,65.211
8:32:48,2,2,1:57.743,67.265
8:34:45,3,3,1:57.395,67.465
8:36:42,4,4,1:57.099,67.635
8:38:39,5,5,1:56.637,67.903
8:40:36,6,6,1:57.006,67.689
8:42:34,7,7,1:57.753,67.259
8:44:31,8,8,1:56.643,67.899
8:46:27,9,9,1:56.557,67.95
8:48:24,10,10,1:56.771,67.825
8:50:22,11,11,1:58.288,66.955
8:52:20,12,12,1:57.429,67.445
8:54:17,13,13,1:57.009,67.687
8:56:14,14,15,1:57.422,67.449
8:58:11,15,16,1:56.604,67.922
9:00:09,16,17,1:57.961,67.141
9:02:06,17,18,1:57.092,67.639
9:04:03,18,19,1:56.990,67.698
9:06:01,19,20,1:58.374,66.907
9:07:58,20,21,1:57.242,67.553
9:09:56,21,22,1:57.672,67.306
9:11:53,22,23,1:57.523,67.391
9:13:51,23,24,1:57.233,67.558
9:15:48,24,25,1:57.110,67.629
9:17:46,25,26,1:57.857,67.2
9:19:44,26,27,1:58.178,67.018
9:21:41,27,29,1:57.574,67.362
9:23:39,28,30,1:57.268,67.538
9:25:36,29,31,1:57.419,67.451
9:27:33,30,32,1:57.377,67.475
9:29:31,31,33,1:57.792,67.237
9:31:29,32,34,1:57.583,67.357
9:33:26,33,34,1:57.390,67.467
9:35:24,34,35,1:57.799,67.233
9:37:21,35,36,1:56.889,67.757
9:39:18,36,37,1:57.103,67.633
9:41:15,37,38,1:57.416,67.452
9:43:13,38,39,1:57.640,67.324
9:45:10,39,40,1:56.949,67.722
9:47:07,40,41,1:57.102,67.633
9:49:06,41,42,1:58.607,66.775
9:51:03,42,43,1:57.074,67.65
9:53:00,43,44,1:56.839,67.786
9:54:57,44,45,1:57.221,67.565
9:56:53,45,46,1:56.408,68.037
9:58:51,46,47,1:57.656,67.315
10:00:48,47,48,1:56.693,67.87
10:02:44,48,49,1:56.768,67.827
10:04:42,49,50,1:57.310,67.513
10:07:13,50,52,2:31.364,52.324
10:14:13,51,54,6:59.629,18.874
10:16:14,52,55,2:01.021,65.443
10:18:14,53,57,2:00.610,65.666
10:20:15,54,58,2:00.638,65.651
10:22:14,55,59,1:59.257,66.411
10:24:13,56,60,1:59.134,66.48
10:26:12,57,61,1:58.918,66.601
10:28:13,58,62,2:00.816,65.554
10:30:12,59,63,1:59.062,66.52
10:32:11,60,64,1:58.924,66.597
10:34:10,61,65,1:59.048,66.528
10:36:09,62,66,1:59.283,66.397
10:38:08,63,67,1:58.889,66.617
10:40:08,64,69,1:59.938,66.034
10:42:06,65,70,1:57.698,67.291
10:44:05,66,71,1:58.715,66.714
10:46:03,67,72,1:58.131,67.044
10:48:02,68,73,1:59.299,66.388
10:50:00,69,73,1:58.207,67.001
10:51:59,70,73,1:58.790,66.672
10:53:58,71,73,1:59.140,66.476
10:55:57,72,74,1:58.382,66.902
10:57:55,73,75,1:58.203,67.003
10:59:52,74,76,1:57.534,67.385
11:01:50,75,77,1:58.025,67.104
11:03:48,76,78,1:57.758,67.257
11:05:46,77,79,1:57.914,67.168
11:07:40,78,80,1:53.755,69.623
11:09:42,79,81,2:02.018,64.908
11:11:40,80,82,1:58.372,66.908
11:13:40,81,83,2:00.053,65.971
11:15:39,82,84,1:59.281,66.398
11:17:37,83,85,1:57.962,67.14
11:19:35,84,86,1:57.979,67.131
11:21:33,85,87,1:57.996,67.121
11:23:32,86,89,1:58.853,66.637
11:25:30,87,90,1:57.957,67.143
11:27:28,88,91,1:58.203,67.003
11:29:26,89,92,1:57.675,67.304
11:31:25,90,93,1:58.390,66.898
11:33:22,91,94,1:57.090,67.64
11:35:19,92,95,1:57.642,67.323
11:37:17,93,96,1:57.885,67.184
11:39:15,94,97,1:58.205,67.002
11:41:15,95,98,1:59.676,66.179
11:43:13,96,99,1:57.724,67.276
11:45:11,97,100,1:57.775,67.247
11:47:09,98,101,1:58.911,66.604
11:49:43,99,103,2:33.420,51.623
11:56:49,100,107,7:06.149,18.585
11:58:46,101,108,1:57.006,67.689
12:00:43,102,109,1:56.883,67.76
12:02:40,103,110,1:56.766,67.828
12:04:38,104,111,1:58.291,66.954
12:06:35,105,111,1:57.405,67.459
12:08:33,106,111,1:57.476,67.418
12:10:30,107,112,1:57.180,67.588
12:12:27,108,113,1:57.003,67.691
12:14:24,109,114,1:57.053,67.662
12:16:21,110,115,1:57.261,67.542
12:18:19,111,116,1:58.059,67.085
12:20:20,112,117,2:00.158,65.913
12:22:19,113,118,1:59.144,66.474
12:24:19,114,119,2:00.159,65.913
12:26:17,115,120,1:58.080,67.073
12:28:14,116,121,1:57.241,67.553
12:30:12,117,122,1:57.563,67.368
12:32:09,118,123,1:57.313,67.512
12:34:07,119,124,1:57.847,67.206
12:36:04,120,125,1:57.301,67.519
12:38:02,121,126,1:57.368,67.48
12:40:00,122,127,1:58.062,67.083
12:41:56,123,127,1:56.800,67.808
12:43:54,124,127,1:57.686,67.298
12:45:51,125,127,1:57.211,67.57
12:47:49,126,128,1:57.269,67.537
12:49:46,127,129,1:57.907,67.172
12:51:44,128,130,1:57.048,67.665
12:53:41,129,131,1:57.141,67.611
12:55:38,130,132,1:57.151,67.605
12:57:36,131,133,1:57.910,67.17
12:59:33,132,134,1:57.005,67.689
13:01:30,133,135,1:57.315,67.511
13:03:27,134,136,1:57.395,67.465
13:05:25,135,137,1:57.461,67.427
13:07:22,136,138,1:57.462,67.426
13:09:19,137,139,1:57.115,67.626
13:11:16,138,140,1:56.641,67.901
13:13:13,139,141,1:57.354,67.488
13:15:11,140,142,1:57.946,67.149
13:17:10,141,144,1:58.315,66.94
13:19:08,142,145,1:58.314,66.941
13:21:06,143,146,1:57.779,67.245
13:23:04,144,147,1:58.475,66.85
13:25:01,145,148,1:56.990,67.698
13:26:58,146,149,1:56.561,67.947
13:29:26,147,150,2:28.489,53.337
13:37:20,148,154,7:53.615,16.722
13:39:20,149,155,1:59.603,66.219
13:41:17,150,156,1:57.743,67.265
13:43:15,151,157,1:57.488,67.411
13:45:12,152,158,1:57.220,67.565
13:47:09,153,159,1:56.843,67.783
13:49:07,154,160,1:58.123,67.049
13:51:03,155,161,1:56.398,68.042
13:53:01,156,162,1:57.995,67.121
13:54:58,157,163,1:57.104,67.632
13:56:58,158,164,1:59.140,66.476
13:58:55,159,165,1:57.224,67.563
14:00:52,160,166,1:57.011,67.686
14:02:49,161,167,1:57.061,67.657
14:04:45,162,168,1:56.358,68.066
14:06:43,163,169,1:57.292,67.524
14:08:39,164,170,1:56.587,67.932
14:10:36,165,171,1:57.183,67.587
14:12:33,166,172,1:56.847,67.781
14:14:30,167,173,1:57.147,67.607
